Epoch, Train Loss, Validation Loss, Validation Accuracy, Learning Rate
    1,     0.1283,          0.0795,               97.37,    0.00001000
    2,     0.0369,          0.0775,               97.78,    0.00001000
    3,     0.0247,          0.0907,               97.67,    0.00001000
    4,     0.0188,          0.0965,               97.50,    0.00001000
    5,     0.0159,          0.0975,               97.62,    0.00001000
    6,     0.0152,          0.0864,               97.89,    0.00001000
    7,     0.0127,          0.1273,               96.90,    0.00001000
    8,     0.0114,          0.1148,               97.51,    0.00001000
    9,     0.0038,          0.0937,               98.08,    0.00000500
   10,     0.0030,          0.0923,               98.02,    0.00000500
   11,     0.0032,          0.0923,               97.94,    0.00000500
   12,     0.0024,          0.1212,               97.68,    0.00000500
   13,     0.0025,          0.1019,               97.97,    0.00000500
   14,     0.0030,          0.1049,               97.94,    0.00000500
   15,     0.0024,          0.1095,               97.84,    0.00000500
   16,     0.0021,          0.1143,               97.84,    0.00000500
   17,     0.0011,          0.1152,               97.90,    0.00000250
   18,     0.0006,          0.1087,               98.00,    0.00000250
   19,     0.0004,          0.1287,               97.81,    0.00000250
   20,     0.0014,          0.1219,               97.80,    0.00000250
   21,     0.0009,          0.1113,               98.05,    0.00000250
   22,     0.0006,          0.1098,               97.96,    0.00000250
   23,     0.0008,          0.1127,               98.04,    0.00000250
   24,     0.0005,          0.1131,               98.16,    0.00000250
   25,     0.0008,          0.1135,               98.12,    0.00000125
   26,     0.0003,          0.1083,               98.16,    0.00000125
   27,     0.0001,          0.1112,               98.09,    0.00000125
   28,     0.0001,          0.1108,               98.18,    0.00000125
   29,     0.0000,          0.1074,               98.24,    0.00000125
   30,     0.0001,          0.1132,               98.31,    0.00000125
