Epoch,Train Loss,Validation Loss,Validation Accuracy,Learning Rate
1,1.2489,0.5764,84.30,0.00003000
2,0.4165,0.4751,86.10,0.00003000
3,0.2685,0.4644,86.26,0.00003000
4,0.1948,0.4696,86.69,0.00003000
5,0.1460,0.4792,86.44,0.00003000
6,0.1123,0.4888,86.44,0.00003000
7,0.0894,0.4922,87.06,0.00003000
8,0.0802,0.4929,86.90,0.00003000
9,0.0692,0.5425,86.53,0.00003000
10,0.0589,0.5129,87.57,0.00003000
11,0.0208,0.5081,88.36,0.00001500
12,0.0158,0.5084,88.48,0.00001500
13,0.0154,0.5386,87.95,0.00001500
14,0.0182,0.5403,88.17,0.00001500
15,0.0157,0.5612,87.83,0.00001500
16,0.0156,0.5585,87.95,0.00001500
17,0.0140,0.5687,87.97,0.00001500
18,0.0123,0.5800,87.82,0.00001500
19,0.0132,0.5802,88.03,0.00001500
20,0.0153,0.5862,87.74,0.00001500
21,0.0054,0.5613,88.65,0.00000750
22,0.0038,0.5613,88.80,0.00000750
23,0.0036,0.5563,89.14,0.00000750
24,0.0036,0.5972,88.47,0.00000750
25,0.0046,0.5822,88.77,0.00000750
26,0.0033,0.6195,88.28,0.00000750
27,0.0043,0.5854,88.81,0.00000750
28,0.0044,0.5961,88.76,0.00000750
29,0.0041,0.6036,88.46,0.00000750
30,0.0027,0.6077,88.68,0.00000750
31,0.0024,0.5961,89.00,0.00000375
32,0.0017,0.6140,88.94,0.00000375
33,0.0013,0.6034,89.06,0.00000375
34,0.0013,0.6111,89.10,0.00000375
35,0.0018,0.5974,89.10,0.00000375
36,0.0021,0.6077,89.12,0.00000375
37,0.0013,0.6050,89.13,0.00000375
38,0.0012,0.6121,89.17,0.00000375
39,0.0016,0.6115,89.02,0.00000375
40,0.0016,0.6205,88.94,0.00000375
41,0.0012,0.6162,89.09,0.00000188
42,0.0009,0.6121,89.03,0.00000188
43,0.0010,0.6174,89.13,0.00000188
44,0.0010,0.6166,89.36,0.00000188
45,0.0009,0.6193,89.49,0.00000188
46,0.0007,0.6232,89.44,0.00000188
47,0.0009,0.6174,89.40,0.00000188
48,0.0009,0.6317,89.23,0.00000188
49,0.0007,0.6284,89.40,0.00000188
50,0.0006,0.6308,89.37,0.00000188
