Epoch,Train Loss,Validation Loss,Validation Accuracy,Learning Rate
1,0.8418,0.4684,86.44,0.00001000
2,0.2540,0.4252,87.52,0.00001000
3,0.1219,0.4451,87.86,0.00001000
4,0.0738,0.4800,87.64,0.00001000
5,0.0561,0.5005,87.50,0.00001000
6,0.0444,0.5115,88.06,0.00001000
7,0.0371,0.5279,87.76,0.00001000
8,0.0345,0.5505,87.72,0.00001000
9,0.0131,0.5232,88.49,0.00000500
10,0.0094,0.5501,88.39,0.00000500
11,0.0078,0.5560,88.46,0.00000500
12,0.0077,0.5779,88.19,0.00000500
13,0.0072,0.5793,88.60,0.00000500
14,0.0075,0.5780,88.35,0.00000500
15,0.0078,0.5719,88.59,0.00000500
16,0.0068,0.6148,88.20,0.00000500
17,0.0031,0.5812,89.01,0.00000250
18,0.0021,0.5944,89.00,0.00000250
19,0.0027,0.6109,88.83,0.00000250
20,0.0023,0.6115,88.98,0.00000250
21,0.0019,0.6141,88.79,0.00000250
22,0.0016,0.6305,88.81,0.00000250
23,0.0021,0.6197,88.98,0.00000250
24,0.0018,0.6308,88.93,0.00000250
25,0.0011,0.6378,89.03,0.00000125
26,0.0007,0.6355,89.16,0.00000125
27,0.0010,0.6520,88.91,0.00000125
28,0.0011,0.6569,89.01,0.00000125
29,0.0009,0.6580,89.31,0.00000125
1,0.8418,0.4684,86.44,0.00001000
2,0.2540,0.4252,87.52,0.00001000
3,0.1219,0.4451,87.86,0.00001000
4,0.0738,0.4800,87.64,0.00001000
5,0.0561,0.5005,87.50,0.00001000
6,0.0444,0.5115,88.06,0.00001000
7,0.0371,0.5279,87.76,0.00001000
8,0.0345,0.5505,87.72,0.00001000
9,0.0131,0.5232,88.49,0.00000500
10,0.0094,0.5501,88.39,0.00000500
11,0.0078,0.5560,88.46,0.00000500
12,0.0077,0.5779,88.19,0.00000500
13,0.0072,0.5793,88.60,0.00000500
14,0.0075,0.5780,88.35,0.00000500
15,0.0078,0.5719,88.59,0.00000500
16,0.0068,0.6148,88.20,0.00000500
17,0.0031,0.5812,89.01,0.00000250
18,0.0021,0.5944,89.00,0.00000250
19,0.0027,0.6109,88.83,0.00000250
20,0.0023,0.6115,88.98,0.00000250
21,0.0019,0.6141,88.79,0.00000250
22,0.0016,0.6305,88.81,0.00000250
23,0.0021,0.6197,88.98,0.00000250
24,0.0018,0.6308,88.93,0.00000250
25,0.0011,0.6378,89.03,0.00000125
26,0.0007,0.6355,89.16,0.00000125
27,0.0010,0.6520,88.91,0.00000125
28,0.0011,0.6569,89.01,0.00000125
29,0.0009,0.6580,89.31,0.00000125
30,0.0008,0.6658,89.11,0.00000125
